Steps,HeartRate,Calories,SleepHours,ScreenTime,StressLevel
8270,75,1573,4.234888501101784,3.244382091963029,36.77
1860,63,2651,6.704216679227939,9.016000083027164,42.61
6390,63,2951,8.776776161071353,7.4667818631002145,33.67
14418,99,3480,5.960142720450458,1.6567149963311896,36.74
6191,76,1904,6.391969506397203,8.390134940366618,36.78
12964,111,1762,3.9227640660017498,5.437316093861843,51.27
12284,111,3073,5.168861842693465,8.621047244519463,53.16
6734,95,3323,5.447039895013684,6.406657970053541,51.68
7265,97,1638,9.17073469246932,7.136497288295729,46.08
1466,109,3083,5.196004163246954,9.941514043561373,75.56
14526,122,3179,6.265212411617912,3.0910199133161633,44.91
5426,122,1898,7.527826541385679,6.615510172852495,50.39
6578,121,2512,4.473100234447264,5.142892510516585,59.95
12636,66,2763,6.418654322851247,1.355067576304223,14.34
12363,86,1891,7.931234236855445,1.1302357735257853,17.37
12111,73,2400,8.701131278162396,2.073057200360728,16.23
9322,64,2834,7.25755564797456,6.841825664846933,19.76
2685,114,2833,7.514321091901687,6.10446779122053,55.53
1769,61,1326,4.257700835507414,5.980866050473547,52.91
11583,121,2706,9.174658983478082,1.2867108627543407,40.34
14803,80,2391,4.295444464906894,5.223726967240063,33.9
7949,80,1493,8.14803762309079,9.321605360582756,36.36
3433,69,2566,5.088897930669913,4.57832682379582,42.01
6311,117,2219,9.10155886220751,6.6243022280961075,51.74
6051,98,1618,7.819757236216877,8.018368080608292,44.26
7420,64,1643,8.022882277870213,8.055327512276989,27.15
2184,124,1884,4.8143550383593,5.673520741557442,71.34
5555,72,3483,6.158239859810965,8.721567508621026,45.92
4385,112,2662,7.2068791675357184,4.522402840273722,48.13
13309,104,3461,8.119841709239605,8.998238933063185,45.15
7396,91,1284,4.123756255474337,3.162044497559908,48.47
14035,95,2967,9.274191898727171,3.5219476629151396,35.05
12096,119,1284,8.841324023327335,1.47808561779101,41.26
9666,70,3144,5.122091542973506,8.160236528880546,36.51
10274,122,3312,8.436561458193992,4.75349712609435,46.94
3558,80,2869,6.609943538238941,3.062049525202591,38.87
8849,111,1862,6.270838889372111,3.086112498549217,38.11
3047,114,1826,5.386604634868433,9.112599471063099,67.64
3747,85,1263,6.9858115197895545,8.505249404149332,48.88
10167,127,2118,7.879334706221586,5.98177796821465,40.21
10998,93,2575,5.965597429776549,6.54499720374149,34.52
1189,111,2381,7.275315158049753,5.268930134952619,54.3
3734,111,2812,7.695877526931822,4.52499888590928,50.0
4005,88,1690,7.766730902091715,9.239291930964983,46.1
5658,97,3078,3.8117965887870815,2.1305143316827184,55.1
2899,101,3140,8.658486834110402,4.7660211074460515,55.5
8734,80,1512,6.249519888590288,4.1010571718908775,29.43
2267,101,2118,5.074496490177287,5.483356482260335,57.89
2528,72,3082,4.950587044878089,5.118686870906576,51.03
12394,123,2012,6.398084677063703,5.6700057848597325,42.46
4556,76,2689,8.820989236813755,2.259270795042947,34.22
4890,68,2526,5.770085490095882,5.618273513619494,35.79
9838,100,1879,7.99835448070126,3.1817693249848977,27.28
12080,60,1634,4.080912385923312,2.6589821408937215,25.44
6393,61,1881,6.356340212906371,1.583507969075721,19.99
11627,119,2358,9.450116842356413,7.863873028805268,48.05
9792,107,2273,8.122626816754021,4.84697728770904,31.61
11555,88,2655,4.763170930643678,6.639793149805826,39.14
11253,69,2570,6.508648842187464,7.54834008974269,22.98
9433,117,1848,4.9017485818913995,7.113849987821982,52.22
11233,119,1444,5.957365563575055,5.234506471807141,46.67
12016,80,3356,8.180504142409788,4.491086760565569,27.6
8513,87,1495,8.127348891742422,4.383639186765974,30.42
3612,93,3359,4.86860226741431,6.760439172370507,62.33
8041,67,2812,9.033339908929161,5.453149194476861,28.45
10555,118,3348,7.055409096588961,8.642190231896596,48.87
7235,108,2827,5.779545745772087,8.87231785894041,54.22
6486,76,1227,6.511613484685164,2.5350434020586663,31.87
8099,119,3185,7.130427520626462,2.226102863911531,42.8
10670,104,2760,6.8593431910747125,6.673608334323996,36.38
11748,128,1257,6.41843021321707,3.7110317325605147,47.37
1775,91,2721,6.529596824536401,1.1671364688858898,44.46
13206,103,1496,4.558471462567317,8.997784024266597,52.05
9226,124,3381,8.376397425828076,3.042106905194274,47.39
4152,67,3496,6.750561919646092,9.363525865172281,45.38
11147,102,2101,4.286479170228219,7.456910057904283,46.01
2585,60,3164,8.096942609496669,7.863881409203358,40.73
4943,110,2298,9.094663870264105,2.8131534621384438,47.02
8555,83,2877,9.183841395421773,3.1077498305513163,31.76
4073,83,2391,5.714106394467036,5.691409784416592,43.61
2021,76,1970,4.313101241364524,2.5488986738487593,48.33
12653,64,2726,6.610397759798391,3.7488852341472905,15.83
11805,79,2578,4.1756553760953246,3.89316230153024,33.51
14417,80,2448,9.103924511075704,2.436669399274877,22.15
4843,117,2754,4.601477764130876,2.8466455005564466,60.35
8989,90,1345,5.016595159706984,8.096966578074309,46.52
10692,70,3183,5.939819161309822,2.5047626909254155,23.41
13990,111,2464,5.798986811354755,1.2561165265953025,34.28
7873,74,3107,8.267977354387334,6.664194483660446,32.13
6675,66,2972,6.237900923305774,9.783848074532049,37.81
1161,87,2258,4.524609560020021,3.9809243316080924,54.96
5297,110,3248,5.103259372916445,2.0679013287662706,56.33
